time,recorded_data,Analog,Voltage [V],Temperature [C],Year,Month,Weekday,Hour,Minute,Second
2024-02-23 19:32:48.238311,"['34.00', '0.65', '15.43']",34.0,0.65,15.43,2024,February,Friday,19,32,48
2024-02-23 19:33:48.299685,"['134.00', '0.65', '15.43']",134.0,0.65,15.43,2024,February,Friday,19,33,48
2024-02-23 19:34:48.334170,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,34,48
2024-02-23 19:35:48.361432,"['135.00', '0.66', '15.92']",135.0,0.66,15.92,2024,February,Friday,19,35,48
2024-02-23 19:36:48.396925,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,36,48
2024-02-23 19:37:48.459809,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,37,48
2024-02-23 19:38:48.523152,"['132.00', '0.64', '14.45']",132.0,0.64,14.45,2024,February,Friday,19,38,48
2024-02-23 19:39:48.586391,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,39,48
2024-02-23 19:40:48.649663,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,40,48
2024-02-23 19:41:48.706782,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,41,48
2024-02-23 19:42:48.716897,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,42,48
2024-02-23 19:43:48.780217,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,43,48
2024-02-23 19:44:48.813715,"['134.00', '0.65', '15.43']",134.0,0.65,15.43,2024,February,Friday,19,44,48
2024-02-23 19:45:48.845725,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,45,48
2024-02-23 19:46:48.909055,"['134.00', '0.65', '15.43']",134.0,0.65,15.43,2024,February,Friday,19,46,48
2024-02-23 19:47:48.969846,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,47,48
2024-02-23 19:48:49.033257,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,48,49
2024-02-23 19:49:49.073342,"['132.00', '0.64', '14.45']",132.0,0.64,14.45,2024,February,Friday,19,49,49
2024-02-23 19:50:49.133810,"['134.00', '0.65', '15.43']",134.0,0.65,15.43,2024,February,Friday,19,50,49
2024-02-23 19:51:49.185947,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,51,49
2024-02-23 19:52:49.206687,"['134.00', '0.65', '15.43']",134.0,0.65,15.43,2024,February,Friday,19,52,49
2024-02-23 19:53:49.249651,"['134.00', '0.65', '15.43']",134.0,0.65,15.43,2024,February,Friday,19,53,49
2024-02-23 19:54:49.309418,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,54,49
2024-02-23 19:55:49.369795,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,55,49
2024-02-23 19:56:49.429731,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,56,49
2024-02-23 19:57:49.489639,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,57,49
2024-02-23 19:58:49.549843,"['133.00', '0.65', '14.94']",133.0,0.65,14.94,2024,February,Friday,19,58,49
2024-02-23 19:59:49.580063,"['134.00', '0.65', '15.43']",134.0,0.65,15.43,2024,February,Friday,19,59,49
